,Company,LTP,Prev. Prize,Volume
0,DB Intnl.StockBroker,19.10,14.85,0.00
1,Steel City Securitie,96.00,83.00,1191.93
2,Orient Abrasives,37.40,33.20,995.72
3,Total Transport Syst,71.25,64.70,890.95
4,Intense Tech,90.25,82.05,193.54
5,Trejhara Solutions,66.10,60.10,109.57
6,Shyam Century,18.55,16.90,1072.63
7,Shree DigvijayCement,96.20,87.75,2831.98
8,HT Media,33.40,30.50,4930.68
9,Ravi Kumar Distiller,15.50,14.20,206.66
10,IZMO,96.00,88.40,219.25
11,Mangalam Cement,451.05,417.45,513.09
12,Maral Overseas,69.30,64.15,248.14
13,Consolidated Constn.,0.75,0.70,70.96
14,Vardhman Polytex,28.05,26.20,292.91
15,Castex Technologies,0.80,0.75,105.52
16,Zen Technologies,100.70,94.80,1642.06
17,Windsor Machines,41.25,38.85,614.63
18,Themis Medicare,922.95,870.00,9.80
19,ACC,2281.35,2151.90,2592.59
20,Poddar Pigments,393.00,371.15,282.99
21,Anjani Portland Cem.,513.55,485.50,250.80
22,Silly Monks Entert.,22.00,20.85,0.00
23,ICRA,4015.80,3810.90,69.16
24,TCI Express,1673.40,1590.50,97.94
25,Seya Industries,80.30,76.45,476.32
26,SAL Steels,11.55,11.00,241.36
27,ABM International,98.70,94.00,0.27
28,Digispice Technolog,57.75,55.00,234.68
29,Godawari Power & Isp,1554.10,1480.10,25.41
30,Cambridge Tech Enter,70.40,67.05,7.22
31,Xpro India,279.50,266.20,14.11
32,Suumaya Industries,571.70,544.50,10.92
33,Tirupati Forge,52.60,50.10,1.20
34,VIP Clothing,22.10,21.05,1031.38
35,Bombay Super Hybrid,307.40,292.80,1.95
36,Vineet Laboratories,112.65,107.30,123.36
37,HOV Services,74.80,71.25,12.77
38,Rajnandini Metal,169.75,161.70,0.55
39,Goodluck India,204.60,194.90,174.98
40,RattanIndia Ent,58.05,55.30,300.35
41,Kilitch Drugs(India),178.40,169.95,13.32
42,Parsvnath Developers,16.95,16.15,207.19
43,Som Distilleries,51.95,49.50,190.03
44,Aban Offshore,45.60,43.45,66.11
45,Sanginita Chemicals,32.95,31.40,83.76
46,Mohit Industries,15.95,15.20,10.01
47,Brightcom Group,43.75,41.70,84.97
48,California Software,10.75,10.25,5.14
49,Karma Energy,21.50,20.50,13.21
50,Archies,29.25,27.90,587.80
51,ISMT,26.05,24.85,23.01
52,Country Club,7.60,7.25,55.26
53,Thomas Scott,19.60,18.70,0.05
54,Touchwood Entertainm,113.50,108.30,9.58
55,Uttam Galva Steels,5.50,5.25,784.26
56,Grand Foundry,3.30,3.15,3.14
57,GTL Infrastructure,3.30,3.15,227.38
58,Hindcon Chemicals,70.75,67.55,57.48
59,Sical Logistics,15.60,14.90,704.27
60,Omkar SpecialityChem,11.15,10.65,0.80
61,Surana Solar,14.50,13.85,86.59
62,Rollatainers,3.35,3.20,1956.48
63,Sagar Cements,1180.00,1127.45,59.10
64,Patspin India,9.05,8.65,3.48
65,TN Telecommunication,12.45,11.90,9.44
66,Prism Johnson,146.30,139.85,1388.88
67,Clean Science,1658.00,1585.25,1470.38
68,Landmark PropertyDev,5.70,5.45,93.60
69,Sanghi Industries,63.00,60.25,1560.97
70,FCS Software Soltns.,2.30,2.20,502.24
71,Shriram Pistons & Rings,938.75,898.00,0.37
72,S&S Power,21.95,21.00,0.13
73,Eurotex Inds.&Export,9.25,8.85,1.20
74,Equippp Social,9.25,8.85,0.06
75,Oil Country Tubular,8.10,7.75,6.19
76,S.E. Power,9.40,9.00,60.17
77,Oriental Trimex,11.95,11.45,93.98
78,BKM Industries,1.20,1.15,90.45
79,Hotel Rugby,3.60,3.45,6.21
80,SCAPDVR,2.45,2.35,45.87
81,Mittal Life Style,12.35,11.85,89.07
82,Reliance Home Financ,4.95,4.75,690.52
83,Globe Textiles (I),173.65,166.65,45.00
84,GeeCee Ventures,186.20,178.70,43.49
85,Balaxi Pharma.,674.95,648.00,11.85
86,Sintex Plastics Tech,6.30,6.05,779.05
87,Zenith Steel Pipes,1.30,1.25,5.75
88,Andhra Cements,27.85,26.80,1229.23
89,Dangee Dums,190.50,183.45,2.52
90,Vikas Lifecare,4.10,3.95,411.03
91,Prime Securities,97.95,94.40,35.10
92,Birla Corporation,1385.75,1336.15,153.23
93,NCL Industries,269.05,259.50,210.74
94,CRISIL,3212.00,3100.70,254.74
95,SAB Events & Governa,2.90,2.80,0.55
96,BLB,10.25,9.90,72.37
97,3P Land Holdings,17.60,17.00,8.99
98,TGB Banquets,9.00,8.70,1.13
